lang,Jan-1-2013,Jan-2-2013,Jan-3-2013,Jan-4-2013,Jan-5-2013,Jan-6-2013,Jan-7-2013,Jan-8-2013,Jan-9-2013,Jan-10-2013,Jan-11-2013,Jan-13-2013,Jan-15-2013,Jan-16-2013,Jan-17-2013,Jan-18-2013,Jan-19-2013,Jan-20-2013,Jan-21-2013,Jan-22-2013,Jan-24-2013,Jan-25-2013,Jan-26-2013,Jan-27-2013,Jan-28-2013,Jan-29-2013,Jan-30-2013,Jan-31-2013,Feb-1-2013,Feb-2-2013,Feb-3-2013,Feb-5-2013,Feb-6-2013,Feb-7-2013,Feb-8-2013,Feb-9-2013,Feb-10-2013,Feb-11-2013,Feb-12-2013,Feb-13-2013,Feb-14-2013,Feb-15-2013,Feb-16-2013,Feb-17-2013,Feb-19-2013,Feb-20-2013,Feb-21-2013,Feb-22-2013,Feb-23-2013,Feb-24-2013,Feb-26-2013,Feb-27-2013,Feb-28-2013,Mar-1-2013,Mar-4-2013,Mar-5-2013,Mar-6-2013,Mar-7-2013,Mar-9-2013,Mar-11-2013,Mar-12-2013,Mar-13-2013,Mar-14-2013,Mar-15-2013,Mar-17-2013,Mar-18-2013,Mar-19-2013,Mar-20-2013,Mar-21-2013,Mar-22-2013,Mar-23-2013,Mar-24-2013,Mar-25-2013,Mar-26-2013,Mar-27-2013,Mar-28-2013,Mar-29-2013,Mar-30-2013,Mar-31-2013,Apr-1-2013,Apr-2-2013,Apr-4-2013,Apr-5-2013,Apr-6-2013,Apr-7-2013,Apr-8-2013,Apr-9-2013,Apr-11-2013,Apr-12-2013,Apr-13-2013,Apr-14-2013,Apr-15-2013,Apr-16-2013,Apr-18-2013,Apr-19-2013,Apr-20-2013,Apr-21-2013
ios,114382,114535,114821,115157,115278,115454,115709,116067,116429,116789,117068,117386,117685,117995,118381,118703,118914,119076,119388,119697,120045,120352,120648,120354,120554,120910,121232,121582,121871,121961,122096,122402,122724,123065,123385,123469,123590,123751,124082,124512,124881,125159,125341,125483,125768,126105,126469,126928,126771,126909,127236,127581,127968,128328,128735,129114,129456,129816,130354,130613,131083,131456,131808,132114,132102,132266,132588,132926,133303,133614,133865,133828,134030,134413,134758,135117,135441,135467,135626,135878,136260,136622,136991,137330,137326,137543,137885,138435,138782,139105,139100,139353,139816,140154,140514,140778,140689
ajax,51977,52015,52091,52172,52214,52265,52337,52430,52521,52632,52730,52827,52885,52999,53113,53221,53305,53358,53451,53556,53659,53761,53853,53782,53843,53944,54037,54141,54228,54266,54325,54422,54531,54630,54735,54752,54795,54850,54944,55095,55197,55301,55358,55402,55504,55623,55748,55891,55861,55917,56004,56137,56243,56344,56496,56598,56688,56804,56976,57054,57205,57311,57426,57504,57519,57585,57679,57792,57895,57984,58057,58048,58105,58217,58330,58453,58560,58549,58596,58668,58780,58882,59005,59109,59126,59203,59316,59493,59615,59726,59699,59765,59935,60062,60174,60251,60262
facebook,37076,37110,37184,37244,37219,37264,37315,37379,37446,37509,37581,37651,37713,37790,37883,37960,38013,38054,38120,38193,38273,38342,38430,38180,38239,38321,38425,38513,38570,38539,38576,38666,38741,38814,38895,38853,38874,38917,39003,39094,39183,39262,39298,39348,39412,39514,39615,39750
sql,109939,110036,110195,110386,110490,110575,110712,110919,111108,111355,111546,111729,111896,112119,112383,112592,112764,112859,113047,113242,113477,113678,113883,113835,113961,114190,114433,114680,114904,115025,115120,115331,115564,115810,116068,116225,116306,116407,116625,116907,117161,117366,117471,117563,117768,118016,118299,118628,118659,118745,118973,119218,119456,119662,119990,120233,120472,120747,121148,121400,121736,121996,122219,122445,122500,122617,122854,123119,123381,123643,123831,123868,124023,124293,124527,124773,124963,125035,125123,125275,125512,125768,126037,126245,126283,126441,126680,127087,127306,127541,127556,127711,128084,128345,128575,128740,128793
wpf,56665,56706,56771,56841,56856,56889,56945,57022,57086,57171,57248,57323,57392,57477,57566,57654,57703,57747,57819,57899,57988,58056,58122,58074,58135,58223,58316,58415,58492,58508,58531,58606,58674,58750,58848,58870,58892,58935,59016,59107,59206,59285,59332,59368,59446,59551,59638,59772,59722,59765,59831,59901,59994,60059,60145,60226,60290,60384,60517,60567,60678,60763,60832,60905,60891,60927,61017,61108,61193,61274,61356,61341,61390,61464,61562,61655,61709,61705,61733,61786,61866,61962,62042,62104,62098,62153,62222,62357,62436,62507,62497,62555,62687,62782,62856,62920,62915
php,322503,322830,323359,323911,324109,324470,324957,325554,326171,326778,327336,328091,328640,329334,330004,330643,331161,331561,332149,332731,333376,334024,334562,334118,334628,335271,335920,336591,337206,337407,337841,338505,339120,339768,340481,340652,341011,341354,341981,342778,343478,344075,344526,344923,345567,346295,347037,348045,347843,348206,348860,349478,350247,350905,351897,352525,353233,353890,355120,355828,356766,357432,358179,358794,358897,359330,360054,360733,361427,362165,362685,362751,363240,363942,364626,365360,365973,366169,366584,367142,367952,368651,369400,370005,370028,370531,371175,372299,372952,373564,373512,374038,375024,375793,376551,377082,376968
ruby,61736,61774,61850,61929,61965,62020,62085,62175,62284,62404,62504,62631,62725,62833,62942,63049,63152,63227,63315,63412,63516,63624,63708,63692,63739,63861,63986,64109,64210,64243,64325,64444,64542,64656,64764,64827,64880,64923,65022,65158,65286,65410,65478,65541,65616,65726,65831,65997,65988,66063,66158,66266,66389,66492,66665,66770,66875,67003,67192,67346,67469,67598,67719,67792,67813,67876,67996,68118,68244,68334,68411,68434,68501,68621,68723,68849,68956,68979,69041,69116,69229,69351,69485,69593,69633,69722,69828,70022,70138,70241,70264,70346,70496,70614,70731,70814,70836
jquery,258390,258604,259019,259470,259651,259895,260270,260779,261278,261823,262314,262840,263251,263816,264366,264874,265259,265516,265971,266489,267058,267557,268054,267796,268129,268693,269252,269824,270289,270506,270753,271282,271813,272353,272925,273222,273466,273745,274272,274960,275547,276072,276370,276623,277145,277721,278318,279149,279021,279257,279753,280313,280945,281513,282269,282814,283408,284030,285027,285497,286325,286937,287522,288067,288119,288385,288947,289473,290095,290644,291116,291177,291568,292153,292715,293327,293861,294031,294268,294698,295322,295916,296512,297060,297130,297499,298038,298964,299524,300049,300095,300456,301312,301914,302465,302962,302960
c,80099,80164,80267,80372,80428,80508,80614,80760,80893,81029,81119,81287,81379,81530,81687,81786,81900,81991,82111,82229,82372,82491,82616,82594,82722,82863,82987,83135,83258,83341,83467,83625,83743,83885,84041,84129,84219,84332,84455,84634,84816,84944,85048,85142,85275,85450,85612,85795,85822,85925,86049,86215,86423,86562,86830,86968,87109,87269,87513,87725,87894,88045,88207,88335,88382,88500,88644,88806,88945,89088,89201,89266,89367,89519,89700,89851,89985,90040,90134,90248,90420,90595,90737,90882,90923,91068,91223,91499,91659,91835,91896,92039,92294,92454,92626,92778,92803
database,46952,47010,47066,47133,47149,47201,47268,47344,47423,47522,47609,47712,47778,47865,47948,48039,48089,48129,48188,48267,48330,48406,48489,48408,48462,48533,48614,48695,48784,48802,48855,48922,49002,49085,49160,49178,49218,49267,49339,49424,49514,49590,49634,49682,49763,49830,49918,50034,49972,50028,50103,50187,50281,50337,50453,50549,50656,50743,50894,50956,51101,51197,51282,51364,51367,51414,51488,51573,51652,51744,51831,51832,51906,51999,52066,52157,52233,52237,52281,52353,52446,52550,52635,52721,52712,52782,52862,53008,53081,53185,53164,53249,53394,53483,53559,53613,53613
windows,42519,42553,42611,42689,42684,42714,42772,42853,42917,42990,43059,43117,43179,43243,43331,43410,43467,43495,43555,43609,43678,43745,43799,43639,43685,43779,43854,43933,44005,43996,44034,44087,44140,44203,44280,44279,44313,44349,44418,44489,44569,44647,44691,44738,44789,44860,44939,45025,44927,44966,45040,45116,45189,45251,45312,45372,45440,45539,45675,45718,45800,45861,45945,46009,45977,46026,46108,46185,46265,46349,46411,46365,46409,46488,46561,46625,46694,46691,46718,46770,46859,46940,47002,47067,47007,47050,47117,47238,47307,47382,47361,47412,47539,47624,47703,47779,47720
vb.net,39692,39718,39771,39836,39857,39881,39939,39998,40060,40117,40170,40237,40296,40378,40446,40526,40571,40612,40666,40740,40806,40868,40941,40870,40919,40987,41064,41129,41206,41219,41253,41303,41376,41440,41512,41519,41540,41576,41626,41722,41802,41877,41922,41962,42029,42098,42201,42316,42288,42335,42410,42490,42564,42640,42740,42808,42886,42956,43085,43138,43246,43303,43367,43435,43430,43471,43554,43622,43702,43772,43834,43833,43881,43960,44029,44115,44172,44173,44206,44280,44365,44453,44540,44619,44625,44680,44763,44917,45006,45083,45093,45139,45276,45358,45424,45486,45467
.net,140410,140459,140564,140695,140736,140792,140889,141019,141162,141327,141477,141598,141710,141865,142028,142204,142312,142378,142481,142639,142821,142969,143114,142983,143074,143237,143425,143587,143719,143740,143804,143933,144075,144227,144357,144401,144381,144445,144593,144790,144964,145120,145186,145241,145386,145542,145714,145943,145881,145930,146066,146250,146424,146588,146783,146949,147103,147280,147556,147654,147877,148071,148235,148349,148320,148386,148514,148650,148799,148949,149075,149035,149107,149224,149351,149507,149622,149588,149639,149717,149857,150029,150221,150344,150282,150362,150530,150835,150983,151096,151070,151147,151373,151547,151697,151805,151766
eclipse,36931,36962,37029,37097,37116,37148,37202,37284,37353,37430,37501,37574,37619,37699,37784,37866,37921,37966,38047,38127,38199,38284,38349,38282,38331,38411,38495,38567,38640,38640,38665,38741,38819,38890,38959,38962,38998,39028,39097,39186,39257,39326,39365,39413,39474,39556,39646,39751,39704,39752,39823,39915,39996,40057,40150,40245,40308,40409,40535,40619,40716,40799,40883,40946,40937,40985,41062,41131,41201,41272,41350,41381,41421,41484,41566,41649,41728,41729,41755,41805,41883,41975,42044,42113,42093,42146,42210,42326,42392,42464,42452,42497,42600,42677,42734,42798,42790
c++,168878,169026,169216,169479,169570,169745,169953,170190,170486,170776,171037,171387,171646,171917,172244,172501,172750,172906,173154,173379,173633,173898,174136,174061,174283,174546,174850,175141,175417,175545,175730,176036,176326,176630,176916,177091,177244,177471,177755,178121,178435,178752,178952,179159,179421,179730,180074,180497,180544,180772,181077,181358,181709,181994,182563,182868,183181,183475,183982,184401,184863,185181,185469,185725,185840,186075,186402,186712,187045,187350,187600,187656,187890,188161,188446,188781,189096,189258,189447,189704,190050,190410,190740,191050,191134,191394,191730,192285,192569,192888,193013,193265,193720,194103,194424,194706,194759
django,43624,43671,43721,43778,43833,43873,43917,43956,44021,44072,44137,44198,44270,44360,44437,44500,44544,44577,44649,44722,44807,44869,44929,44918,44968,45049,45131,45210,45275,45325,45373,45457,45528,45622,45707,45762,45806,45843,45924,46003,46079,46146,46208,46250,46310,46405,46506,46607,46618,46662,46733,46809,46909,46983,47135,47224,47288,47362,47493,47593,47694,47781,47866,47930,47946,47987,48050,48130,48225,48306,48371,48396,48446,48538,48623,48706,48786,48799,48830,48876,48944,49042,49113,49197,49230,49294,49369,49502,49571,49647,49653,49711,49839,49925,50014,50095,50104
arrays,41769,41807,41853,41916,41964,42012,42065,42147,42213,42292,42355,42460,42514,42606,42679,42766,42831,42881,42950,43013,43108,43188,43276,43292,43342,43421,43503,43593,43664,43706,43768,43867,43955,44053,44155,44211,44251,44307,44387,44501,44602,44694,44763,44833,44940,45059,45174,45313,45346,45418,45522,45610,45717,45819,46028,46132,46232,46345,46544,46693,46844,46950,47051,47152,47197,47260,47362,47474,47596,47707,47796,47828,47897,48012,48114,48237,48328,48394,48460,48566,48678,48800,48922,49028,49063,49141,49242,49457,49566,49671,49711,49797,49938,50065,50204,50283,50308
